,Koenigsstein Quota,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Country,,,,,,,,,,,,,,,,,
Australia,1.5%,1.5%,1.6%,1.8%,1.9%,1.9%,1.9%,2.0%,1.9%,2.0%,2.3%,2.5%,2.6%,2.5%,3.1%,#DIV/0!,#DIV/0!
Austria,0.9%,0.9%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.1%,1.1%,1.0%,1.0%,1.0%,1.1%,0.8%,#DIV/0!,#DIV/0!
Belgium,1.1%,1.1%,1.2%,1.3%,1.3%,1.3%,1.3%,1.3%,1.4%,1.4%,1.3%,1.4%,1.3%,1.1%,1.0%,#DIV/0!,#DIV/0!
Canada,3.0%,3.0%,2.9%,3.0%,3.0%,3.2%,3.3%,3.3%,3.2%,3.3%,3.5%,3.5%,3.6%,2.6%,2.4%,#DIV/0!,#DIV/0!
Chile,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.6%,0.7%,0.6%,0.6%,0.7%,0.7%,0.7%,0.8%,0.2%,#DIV/0!,#DIV/0!
Czech Republic,0.5%,0.5%,0.5%,0.5%,0.6%,0.6%,0.6%,0.6%,0.7%,0.6%,0.6%,0.6%,0.6%,0.6%,0.9%,#DIV/0!,#DIV/0!
Denmark,0.8%,0.8%,0.8%,0.9%,0.9%,0.9%,0.9%,0.9%,0.9%,0.9%,0.9%,0.9%,0.8%,0.9%,0.7%,#DIV/0!,#DIV/0!
Estonia,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.0%,#DIV/0!,#DIV/0!
Finland,0.6%,0.6%,0.6%,0.7%,0.7%,0.7%,0.6%,0.7%,0.7%,0.7%,0.7%,0.7%,0.7%,0.7%,0.5%,#DIV/0!,#DIV/0!
France,6.4%,6.5%,6.8%,7.3%,7.4%,7.3%,7.2%,7.3%,7.6%,7.7%,7.4%,7.4%,7.2%,7.5%,9.2%,#DIV/0!,#DIV/0!
Germany,8.0%,7.9%,8.2%,8.6%,8.4%,8.0%,8.0%,8.2%,8.6%,8.8%,8.3%,8.4%,8.2%,8.5%,6.2%,#DIV/0!,#DIV/0!
Greece,0.7%,0.7%,0.7%,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.7%,0.7%,0.4%,0.4%,#DIV/0!,#DIV/0!
Hungary,0.4%,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%,0.6%,0.6%,0.5%,0.5%,0.5%,0.5%,0.5%,0.2%,#DIV/0!,#DIV/0!
Iceland,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,#DIV/0!,#DIV/0!
Ireland,0.4%,0.4%,0.4%,0.4%,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%,0.4%,0.4%,0.4%,0.4%,0.6%,#DIV/0!,#DIV/0!
Israel,0.5%,0.6%,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%,0.6%,0.6%,0.6%,0.6%,0.4%,#DIV/0!,#DIV/0!
Italy,5.3%,5.5%,5.7%,6.1%,6.2%,5.9%,6.0%,6.2%,6.4%,6.6%,6.2%,6.1%,5.9%,6.0%,4.1%,#DIV/0!,#DIV/0!
Japan,13.7%,12.7%,11.9%,11.5%,11.3%,11.0%,10.3%,9.7%,10.0%,10.8%,11.2%,11.3%,11.6%,10.4%,6.4%,#DIV/0!,#DIV/0!
Korea,2.3%,2.3%,2.4%,2.5%,2.4%,2.5%,2.7%,2.7%,2.5%,2.5%,2.6%,2.7%,2.8%,2.9%,4.3%,#DIV/0!,#DIV/0!
Luxembourg,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,#DIV/0!,#DIV/0!
Mexico,3.6%,3.7%,3.8%,3.7%,3.6%,3.6%,3.7%,3.7%,3.7%,3.7%,3.8%,3.8%,3.9%,4.2%,0.8%,#DIV/0!,#DIV/0!
Netherlands,1.7%,1.7%,1.8%,1.9%,1.9%,1.9%,1.9%,2.0%,2.1%,2.1%,2.0%,1.9%,1.8%,1.9%,1.4%,#DIV/0!,#DIV/0!
New Zealand,0.3%,0.3%,0.3%,0.3%,0.3%,0.4%,0.3%,0.4%,0.3%,0.3%,0.3%,0.4%,0.4%,0.4%,0.5%,#DIV/0!,#DIV/0!
Norway,0.7%,0.7%,0.8%,0.8%,0.8%,0.9%,0.9%,1.0%,1.0%,1.0%,1.0%,1.1%,1.1%,1.1%,1.1%,#DIV/0!,#DIV/0!
Poland,1.6%,1.6%,1.6%,1.6%,1.6%,1.7%,1.7%,1.8%,1.9%,1.8%,1.8%,1.8%,1.8%,0.7%,0.8%,#DIV/0!,#DIV/0!
Portugal,0.6%,0.6%,0.6%,0.7%,0.7%,0.7%,0.7%,0.7%,0.7%,0.7%,0.7%,0.7%,0.6%,0.6%,0.3%,#DIV/0!,#DIV/0!
