Country,Totaltaxrevenue/millionUSDin2011,Populationin2011,Percentoftaxrevenue,Percentofpopulation,ProzentnachKoenigsteinerSchluessel,Newasylumrequests(2016),Percentageofnewasylumrequests
Australia,401.1,22340000,2.80%,1.80%,2.46%,27630,1.69%
Austria,177.319,8388534,1.24%,0.67%,1.05%,39950,2.44%
Belgium,227.4,11047740,1.59%,0.89%,1.35%,14670,0.89%
Canada,552.47,34483980,3.85%,2.77%,3.49%,23830,1.45%
Chile,53.3,17248450,0.37%,1.39%,0.71%,2300,0.14%
CzechRepublic,75.914,10496670,0.53%,0.84%,0.63%,1210,0.07%
Denmark,154.4,5570572,1.08%,0.45%,0.87%,6240,0.38%
Estonia,7.303,1334947,0.05%,0.11%,0.07%,70,0.00%
Finland,115.1,5386000,0.80%,0.43%,0.68%,5320,0.32%
France,1235.88,63223160,8.62%,5.08%,7.44%,77890,4.75%
Germany,"1.341,9",81039750,9.36%,6.52%,8.41%,722360,44.06%
Greece,96.848,11124000,0.68%,0.89%,0.75%,49850,3.04%
Hungary,51.1,9958823,0.36%,0.80%,0.50%,28070,1.71%
Iceland,5.049,319013.5,0.04%,0.03%,0.03%,1130,0.07%
Ireland,65.2,4574900,0.45%,0.37%,0.43%,2240,0.14%
Israel,80.933,7765800,0.56%,0.62%,0.58%,8150,0.50%
Italy,954.2,60626440,6.66%,4.87%,6.06%,122120,7.45%
Japan,1702.132,127799000,11.88%,10.28%,11.34%,10900,0.66%
Korea,290.7,49779440,2.03%,4.00%,2.69%,7540,0.46%
Luxembourg,22.2,518346,0.16%,0.04%,0.12%,1940,0.12%
Mexico,155.194,115682900,1.08%,9.30%,3.82%,8780,0.54%
Netherlands,320.5,16693070,2.24%,1.34%,1.94%,18410,1.12%
NewZealand,51.777,4384000,0.36%,0.35%,0.36%,390,0.02%
Norway,209.6,4953000,1.46%,0.40%,1.11%,3200,0.20%
Poland,168.47,38525670,1.18%,3.10%,1.82%,9840,0.60%
Portugal,79.2,10557560,0.55%,0.85%,0.65%,1460,0.09%
SlovakRepublic,28.107,5398384,0.20%,0.43%,0.28%,100,0.01%
Slovenia,18.7,2052496,0.13%,0.17%,0.14%,1260,0.08%
Spain,464.028,46736260,3.24%,3.76%,3.41%,16270,0.99%
Sweden,239.5,9449212,1.67%,0.76%,1.37%,22410,1.37%
Switzerland,188.233,7912398,1.31%,0.64%,1.09%,25870,1.58%
Turkey,216.0,74223630,1.51%,5.97%,2.99%,77850,4.75%
UnitedKingdom,874.798,62435200,6.10%,5.02%,5.74%,38380,2.34%
UnitedStates,"3.708,7",311721600,25.87%,25.06%,25.60%,261970,15.98%
Total,14333.374,1243750945.5,100.00%,100.00%,100.00%,1639600,100.00%
